instant,dteday,season,yr,mnth,holiday,weekday,casual,registered,cnt
1,2011-01-01,1,0,1,0,6,331,654,985
2,2011-01-02,1,0,1,0,0,131,670,801
3,2011-01-03,1,0,1,0,1,120,1229,1349
4,2011-01-04,1,0,1,0,2,108,1454,1562
5,2011-01-05,1,0,1,0,3,82,1518,1600
6,2011-01-06,1,0,1,0,4,88,1518,1606
7,2011-01-07,1,0,1,0,5,148,1362,1510
8,2011-01-08,1,0,1,0,6,68,891,959
9,2011-01-09,1,0,1,0,0,54,768,822
10,2011-01-10,1,0,1,0,1,41,1280,1321
11,2011-01-11,1,0,1,0,2,43,1220,1263
12,2011-01-12,1,0,1,0,3,25,1137,1162
13,2011-01-13,1,0,1,0,4,38,1368,1406
14,2011-01-14,1,0,1,0,5,54,1367,1421
15,2011-01-15,1,0,1,0,6,222,1026,1248
16,2011-01-16,1,0,1,0,0,251,953,1204
17,2011-01-17,1,0,1,1,1,117,883,1000
18,2011-01-18,1,0,1,0,2,9,674,683
19,2011-01-19,1,0,1,0,3,78,1572,1650
20,2011-01-20,1,0,1,0,4,83,1844,1927
21,2011-01-21,1,0,1,0,5,75,1468,1543
22,2011-01-22,1,0,1,0,6,93,888,981
23,2011-01-23,1,0,1,0,0,150,836,986
24,2011-01-24,1,0,1,0,1,86,1330,1416
25,2011-01-25,1,0,1,0,2,186,1799,1985
26,2011-01-26,1,0,1,0,3,34,472,506
27,2011-01-27,1,0,1,0,4,15,416,431
28,2011-01-28,1,0,1,0,5,38,1129,1167
29,2011-01-29,1,0,1,0,6,123,975,1098
30,2011-01-30,1,0,1,0,0,140,956,1096
31,2011-01-31,1,0,1,0,1,42,1459,1501
32,2011-02-01,1,0,2,0,2,47,1313,1360
33,2011-02-02,1,0,2,0,3,72,1454,1526
34,2011-02-03,1,0,2,0,4,61,1489,1550
35,2011-02-04,1,0,2,0,5,88,1620,1708
36,2011-02-05,1,0,2,0,6,100,905,1005
37,2011-02-06,1,0,2,0,0,354,1269,1623
38,2011-02-07,1,0,2,0,1,120,1592,1712
39,2011-02-08,1,0,2,0,2,64,1466,1530
40,2011-02-09,1,0,2,0,3,53,1552,1605
41,2011-02-10,1,0,2,0,4,47,1491,1538
42,2011-02-11,1,0,2,0,5,149,1597,1746
43,2011-02-12,1,0,2,0,6,288,1184,1472
44,2011-02-13,1,0,2,0,0,397,1192,1589
45,2011-02-14,1,0,2,0,1,208,1705,1913
46,2011-02-15,1,0,2,0,2,140,1675,1815
47,2011-02-16,1,0,2,0,3,218,1897,2115
48,2011-02-17,1,0,2,0,4,259,2216,2475
49,2011-02-18,1,0,2,0,5,579,2348,2927
50,2011-02-19,1,0,2,0,6,532,1103,1635
51,2011-02-20,1,0,2,0,0,639,1173,1812
52,2011-02-21,1,0,2,1,1,195,912,1107
53,2011-02-22,1,0,2,0,2,74,1376,1450
54,2011-02-23,1,0,2,0,3,139,1778,1917
55,2011-02-24,1,0,2,0,4,100,1707,1807
56,2011-02-25,1,0,2,0,5,120,1341,1461
57,2011-02-26,1,0,2,0,6,424,1545,1969
58,2011-02-27,1,0,2,0,0,694,1708,2402
59,2011-02-28,1,0,2,0,1,81,1365,1446
60,2011-03-01,1,0,3,0,2,137,1714,1851
61,2011-03-02,1,0,3,0,3,231,1903,2134
62,2011-03-03,1,0,3,0,4,123,1562,1685
63,2011-03-04,1,0,3,0,5,214,1730,1944
64,2011-03-05,1,0,3,0,6,640,1437,2077
65,2011-03-06,1,0,3,0,0,114,491,605
66,2011-03-07,1,0,3,0,1,244,1628,1872
67,2011-03-08,1,0,3,0,2,316,1817,2133
68,2011-03-09,1,0,3,0,3,191,1700,1891
69,2011-03-10,1,0,3,0,4,46,577,623
70,2011-03-11,1,0,3,0,5,247,1730,1977
71,2011-03-12,1,0,3,0,6,724,1408,2132
72,2011-03-13,1,0,3,0,0,982,1435,2417
73,2011-03-14,1,0,3,0,1,359,1687,2046
74,2011-03-15,1,0,3,0,2,289,1767,2056
75,2011-03-16,1,0,3,0,3,321,1871,2192
76,2011-03-17,1,0,3,0,4,424,2320,2744
77,2011-03-18,1,0,3,0,5,884,2355,3239
78,2011-03-19,1,0,3,0,6,1424,1693,3117
79,2011-03-20,1,0,3,0,0,1047,1424,2471
80,2011-03-21,2,0,3,0,1,401,1676,2077
81,2011-03-22,2,0,3,0,2,460,2243,2703
82,2011-03-23,2,0,3,0,3,203,1918,2121
83,2011-03-24,2,0,3,0,4,166,1699,1865
84,2011-03-25,2,0,3,0,5,300,1910,2210
85,2011-03-26,2,0,3,0,6,981,1515,2496
86,2011-03-27,2,0,3,0,0,472,1221,1693
87,2011-03-28,2,0,3,0,1,222,1806,2028
88,2011-03-29,2,0,3,0,2,317,2108,2425
89,2011-03-30,2,0,3,0,3,168,1368,1536
90,2011-03-31,2,0,3,0,4,179,1506,1685
91,2011-04-01,2,0,4,0,5,307,1920,2227
92,2011-04-02,2,0,4,0,6,898,1354,2252
93,2011-04-03,2,0,4,0,0,1651,1598,3249
94,2011-04-04,2,0,4,0,1,734,2381,3115
95,2011-04-05,2,0,4,0,2,167,1628,1795
96,2011-04-06,2,0,4,0,3,413,2395,2808
97,2011-04-07,2,0,4,0,4,571,2570,3141
